target,texts
0,"he said you can't bring food  but you want to eat at the restaurant, you have to wear dry clothes first  even though we were hungry after swimming. then I want to swim again  "
0,"The cafe is very expensive & doesn't match the price,"
0,"The bathroom rinse doesn't have water, it's also strange how can the room rinse until there's no water . Even if there are only small droplets  "
0,Not really a recommendation
0,"No recommended, uncomfortable, if this is not allowed prohibited, so that people understand, "
0,I feel disappointed that I paid a lot of money. 
0, So join the home marketing office and villa cafe outside the Bird Pavillon. 
0," and there is no parking attendant to direct you, the parking attendant is only at the payment post "
0,Ticket prices are a bit expensive if you only see birds
1,It's fun to be able to give bird food here
0,but you have to pay even though you don't have to play the parking lot for 5 minutes
1,"You can buy bird food and feed the birds. There are pigeons, lovebirds, parrots, parrots, owls, turkeys, chickens, guinea pigs, otters, etc "
0,"the cashier bought a jutek card, for a female employee in white while waiting in line for a ticket she smiled and said sorry for the long wait."
0,Playing with children must be really fun.
0,"Maybe due to the last pandemic, the birds are more used to and like to eat what has been served by the manager than what we give them."
1,"The staffs are very friendly and kind, it really show the kindness for Bandung people."
0,Food was bad . 
1," They dont charge the entrance fee anymore,.  "
0,Playground very dirty. Will not back to this place
0,It not maintain well. Its dirty. The monkey and rabbit look so pity.
1,There's a souvenir and fashion store on the way out. 
0, The ticket price for one adult is too expensive for me (as a college student). IDR 75K per adult?? Are you kidding me??
0,"The photo spots are like a labyrinth, many room to connect. "
0,And I hope the manager of this place see and (hopefully) respond to this concern of mine.
0," I'm a Jakarta person, if I play in Bandung, I have to come here, the ticket price is average, "
0,"It has few animals such as monkeys, owls, parrot,  and rabbits but they are not well taken care. "
0,Food quality is standard and price were expensive.
0,"Parking is not ideal, since they’re renovating the parking space, so be prepared."
1,Actually this place sells you instagramable spot
1,You don't need to pay for an entrance ticket but you are required to buy 1 food drink menu per person who comes
1,"Fyi: for a coffee lover, they have good coffee "
1,I think I want to visit again there to enjoy their palm sugar coffee (I forgot the name of the menu)
1,"but it's still affordable, "
0,"First of all, it's not special. Actually, there is nothing special about this place. The area isn't strategic enough and the parking area is small."
0,"There's entrance fee (Rp25.000 person) and you have to pay extra ""entrance fee"" to each attraction room. "
1,"I mean, yes it's not that expensive"
1,"Second, thank God I came on Friday morning (at 10.30 AM) so it was not that crowded.  "
1,One thing that also bothering me (and at the same time hilarious😂) was their rabbits.  . 
1,Good place for those who love selfie and have no problem spending money just to enter a factory outlet shop 
1,Have many fun spots to take selfie or taking pictures together. This place sure gives you the excitement. 
0," But also quite a lot of stairs, so be careful when you bring elderly people."
1, The rabbit house  Have some good rabbits  
0," but just feels so pricey (of course in my opinion) you have to pay at almost every facilities and activities you want to do, I know some of them is free but it’s only few and nothing special. "
0,Just remain that not using drone photos is because of too many trees and will be stuck too.
1,overall this is nice and good
0,The place is huge so we easily got lost cause the signs weren’t clear. Please put up clearer signs.
0,You should make it free for old people to ride the car inside the area. They shouldnt have to pay 10k
0,Maybe improve the mermaid area at the bottom? It was really dirty.
0,"First of all, theres a lot of mini and hidden costs that incurred for us."
0,"Then, they cannot explain their package very well, imagine going for an ATV ride for only one round? "
0,"They cant speak English, and expect us to understand their very complicated way of conduct of this business."
0," Please for god sake, have a staff that can speak English and can disclose alllll the costs that may occur so we can make decisions to not come here."
0,"Not worth it, mark my words"
1,"Love the fresh air, atmosphere, the nature sound of cicadas as well as river."
1,"But unfortunately, you can explore more when it rain."
0,The slippery path can hamper your journey.
1,"when it sun, the entire place are very loveable."
1,"If you come with your spouse only, this place is good for dating because of their unique photospot :)"
1,"you can change your ticket for soft drinks. And if you have 4 entrance tickets, you can replace it with a mini cute cactu"
1,"When you first come inside of the parks, then you will find a lot of option to choose which kinds of arena are the best for you."
1,"They provide it based on age or weight, and some are for family gathering ,etc"
1,They do have a nice food court.
0,"Unfortunately, when I got here they do not serve me with good management. "
0,"even though in the early day miss communicating with each other team between clients, EO, and the Dago dream park team."
0," I  ask them be they often get me missed information like ticket prices, place to rest, age restriction, peripheral restriction, etc) from their management team"
0, They should fixed this up.
1,But for the whole things are still fantastic
1,"The place is well maintained, manicured landscapes to enjoy, and its quite close to the city (it took me only about half an hour car ride from cihampelas in weekend morning)."
0, Might be a bit challenging for elders as the place has quite a terrain.
1,"The price are quite affordable and have many kind activities such as riding the horse, ride a bicycle (for kids only), ATV, row a boat, shooting, flying fox, etc."
1,"You can enjoy the view too and there are many place that ""selfieable"" and instagramable. "
1,"Apart from that, all are OK"
1,Natural surroundings. Pavements made easy for access.
1,Unique shaping that follows the nature. Great for vacation and sports.
1,Many features and facilities. One of the best place for large groups vacation.
1,"There should be sheltered easy walk path that connects to every directions. Which helps the elders, people with wheelchair, kids, and especially when downpour."
0,"Guard rails, safety nets, and warning signs especially for dangerous stairways and steep edges are almost all seem missing here. Safety first Never open before safety provided entirely."
0,Make more dedicated ticket booth for each feature. The park guys clerks that scatter through the place to warn or help customers.
1,"There are a lot of options here, if you bring your baby, you can ride a horse and give food to rabbits."
0,although a few looks sickly.  
1,highly recommended 
1,Could we receive some kind of special card with deposit or something so we can just swipe it to enter other than trying to locate a ticket  
1,"Many attractive photo place that very instagramable,  clean public toilet with tissue provided  Restaurants,  parking space is well arrange, entrance per person charge 20k."
1,The european aisle is quite nice
1,It's not in very wide area cause it's still inside the Farmhouse Lembang. But I like the concept of this place.
1,"and the ticket price is quite cheap too. family friendly , located inside farm house, so you can visit both place without relocating."
1,A lot of activities with European style and calming ambience.
1,Recommended place for family 
0,"The place is not too big, but you know the entrance fee is not much either."
1, Try to go here when it is not peak season so you can enjoy the place fully without too many crowds
1,Also the staff very friendly ;)
1,You can enjoy fresh air
1,"A good place to remember childhood and feel good, bring out the kiddos in every us"
1," Yeah, it's big and green. "
0, It's surrounded by busy roads
0," Well, this is not a touristy spot from the beginning."
1,"By the way, it might be good for lunch since you can find an open-air food court(?) somewhere in this plot."
1,"The park is really green and beautiful because of many trees, that also make the air become cooler here."
1," There are many areas for people to do skateboard, jogging, and many kind of sports"
1," It can be accessed easily because of being located near the city centre, and many public transportation through this place."
1,"Many people come here for many purpose ; to have a rendezvous, to do an exercise, to looking for local food, to play with their children, even dating with someone special 😍  "
0,"It usually crowded at weekend, especially at car free day (cfd) event every Sunday morning."
1,Many beuty flower planted here.
1, Green and shade is the first impression when the first sight here.
1, One of Amazing and beautiful garden in Surabaya.
1, Love you my second home town. 
1,Recommended by Kayin Fauzi owner of Pondok Mantau producer of Mantau Black Pepper a special buns of Balikpapan.
1,"Also, there are lots of community gathering here on weekend. Maybe you could join one if you want to."
1,The place is clean too.
1,", overall a good place to relax and chill"
1,Sunday morning there are lots of sellers of all kinds of goods and trifting
1,Nice street food can be found around the area.
0,"but the public restrooms, especially the men's restroom, are a bit dirty and the sink is not working."
1,", clothes are also available even though there aren't too many visitors"
1,"No need to worry if you don't bring a mat, because food beverage sellers also offer mat rental for free but with the condition that you have to order food drinks"
1,Don't worry too about the price of food drink because the price of food drink is also listed on the menu offered.
1,There are also several places for the bathroom.
1,"For hygiene conditions, it is much cleaner now than before the renovation. "
1, For food and drink prices are still relatively reasonable.  
1,"For those who want to buy souvenirs, there is also a souvenir market"
1,it's a shame the sea water is a bit cloudy.
0,"But if you want to take a boat, pay another 10k "
1, Suitable for a big family picnic 
1,many visitors got lost on the muddy road and puddles of rainwater during high tide
0,when the rainy season gets there the road is really muddy.
0,"it's a shame the road to the location hasn't been repaired, "
1,You can visit this natural attraction with family or friends.
1,Taking photo around the premises is free. 
0,Even the dragon fish statue will ask you for money. 
1,But that's pretty much it.
1,"We went there on Monday, there weren't many visitors, so it's comfortable enough for the five of us.  "
1,"Fair price,"
1, clean toilet 
0,"but, poor access from the main road."
0,In the weekend there will be traffic jam from Dago street to the park.
1,"But if you're there for the view and nature, I recommend you to give it a try"
0,but some of the equipment of the attractions aren't regularly maintenance. 
1,"Because so many great spot for photography, but remember reach spot need to buy the ticket"
0,"Minor down side is below attraction, some spot need mosquito repellent due to a lot of bugs. "
0,And just advice maybe not all spot need ticket to experience it.
1,  Here you can have a lot of food option too because they have more than one resto.
1,"I recommend this place for everyone, you guys should try this place at least once 😆😆"
0,"We hated the system, though. "
1,you can take tons of good photos here. great ambience.  
1, but I think it is worth the price.
1,"A must go attraction Comfortable, clean and ample parking Great for kids "
1,"There is no information from the officers who sell pastries for hobbit houses, the latest is Dream Garden."
0,"But before entering here, you have to pay for the entrance ticket to the farm first 25 thousand"
0,"When you first enter the area, you are required to buy a ticket which also acts as a voucher that can be exchanged for a glass"
1,The atmosphere is cool and the building concept feels like it's not in Indonesia. 
1,lots of food and cheap
1, there are also various souvenirs sold here
1," there are many flower plants that give color to this place,"
1, But the trafic was crowded and the road to access is a bit sheer.
1,But worth to visit.
1, You also can make a tent and camp with your friends.
1,"The villagers are so friendly, if you wanna know the history about the place you can take tour guide who also know the best angle to take many good pictures."
0,Beware of monkeys.
1,Many good photo spot. 
1, It was a beautiful wide view with natural huge stones around you
1, A little climb is needed but I promise you it’s worth it.
1,"relatively cheap, you need to pay only 10k per person and 10k for car parking."
1,The place is quite easy to access
0,but there is no mark yet at the big road so you need to see your maps carefully when it’s getting closer to the location. 
1,"If you need help to find the best spot or want to know more about the history, there are some friendly guides to help you :)"
0,Unfortunately bad toilets restrooms.
0,Some monkeys will try to steal your food. I've already warned you.
0,"The entrance so rocky, need to be considered by the management."
0,"Many cliffs, so extraordinary."
0,A huge chunk of limestone surrounding by the green hills. 
0,"Do not use hi-heels, better visit at the afternoon before sunset, a little hard to find toilet."
0, Too bad there's lots of trash thrown by visitors.
0,Also there's a lot of kilms and limestone mines around here that produces smokes that messed up the beautiful view.
1, Quite a few refreshment stalls.
1,"Entrance fee and parking is cheap (total 12,000 for bike and rider)."
0,Not easily covered by vehicle. 
0,"The last 750 metres (the 'road' from the main road to the quarry) is a rough, stoney track. "
0, It is quite crowded on weekends.
1,You better go there on weekdays to enjoy the place completely.
1,"It is a good place to see the sunset. You could feel the wind blows, hitting the stones. "
1,7 10 would recommend
1,Also a great place to take pictures.
1," Despite the difficulties I experienced when I was there, the view from the top of the hill was mostly satifying for anyone to see.  "
0,"Beware if you visit after rain occurs, the ground is very difficult to step on."
0,Beware of wild monkeys that inhabits the place. 
0,There is only one toilet.
0,But the road access to go here full of rock so you have to be carefull if you want to come here especially if you use a motorbike. 
1,Entrance ticket only IDR. 5K. 
0,If you come here be careful with the monkeys that live here.
0," I dont reccomend this place if you looking for sunrise, because the sun is blocked by other mountains."
1," As you can see from the picture and video below, the scenery is really good, you can see Bandung city from here."
1,The best time to visit Stone Garden is around 9PM depends on the waether
0," but maybe because it's been a long time, the atmosphere of the cafe outside is also not well maintained,"
1,Good place for those who love selfie and have no problem spending money just to enter a factory outlet shop 
0,"But until then, it’s not recommendable to come."
0,Nursery room has got no light.
0,The playground for kids are dirty. 
0,Definitely not worth the money.
0,The cages are also very dirty. 
0,Some of them are having scabies. 
0,"On the rabbit farm, the rabbits are not well-maintained. "
1,The rest of the place is more for selfies or taking photos. 
0,I wish they could improve their service and food.
0,"Some food are out of menu, we had to wait for 1 hour since the ice stock is run out and another 1 hour bcs the cup is run out too."
0,"But I gotta say the food there is sadfood, if you know what I mean. At least make the platting proper for the price."
0,"Yes, I did take a few selfies on the salvageable attractions because I came for them but I had to heavily edit with how bad the disrepair was. "
0,"For people who can ""sense"" or ""see"" auras, this house feels sad and ""icky"". I could feel the despair and it felt as if all joy got sucked out of my soul and I am not exaggerating."
0,Many parts of many attractions are broken and are very dirty.
0,It looks very fake and very cheap. 
0,"It's not clean, it's not maintained, smells musty and dusty. "
0,"The ""selfie attraction"" is in complete disrepair. "
0,"The pricing is a standard cafe price but food quality is awful, it's low-quality food you can get in bulk kinds."
0,The food is overpriced; the price doesn't fit its worth. 
0,DO NOT COME HERE.
0,I wholly regret coming here.
0,Awful.
0,This is my  first review with one star comment.Regret it sooo much that we ever come here.
0,"No manager on duty, no place to write our complaint, only could complaint to the staff who did almost nothing to reduce our anger. "
0,Food are awful.
0,"Only few monkey, only few koi, children playground is not really that maintained but atleast it gave our children something to do and forget the fact that there's no rabbit."
0,"during the entrance, no ticket fee but we have to buy atleast 1 menu per person which is actually ok but we have to choose directly in front while standing, so it creates a queue and really uncomfy. "
1, The food and the coffee is nice 
0,it seems that they want to sell a selfie places with lots of theme but the place is kind of old and need a lot of reparation.
0,Dont expect anything 
0,Not worth to come here 
0,"Places are dirty, not maintaned well. "
0,Definitely not going again.
0,THIS IS SUCH A REAL SHAME.
0,and worst of all they charge people who want to to see the work or take photos with it as the background without (again) giving royalty or credit to the artist that the work they've been using. 
0,"Second, some of the area display a replica of other's work of art without any recognition whatsoever to the real artist, "
0,"Literally nothing to enjoy, just a bunch of area to take selfie. Selfie tourism, I know."
1,"However, in brighter side, i feel delighted i could save a roundtrip to LA to see “love lights”"
0,"Some of other room advertised are closed, and the ticket lady has no courtesy to told us so."
0,The rabbit place has literally 4 hungry rabbits that we could interact with. To feed them is extra 20k for a handful of carrot peels and pieces which i estimates its 1000% markup. 
0, I couldn’t decide if Yayoi sued them or it just to costly to give stickers to the visitor. 
0,Many of the selfie spot are not maintained and you could see shoe marks and paint peeling off.
0,Worst experience ever 
0, Imagine all opportunity lost because of ridiculous payment management.
0,We cancel all the orders with resentment.
0, i have to queue for more than 1 hour just TO PAY  
0," Instead of creating something unique and supportive of the arts, they have abandoned ethics and wasted a great opportunity to showcase Indonesian artists."
0," Visiting this place is not only hurtful to the local community, but it is also hurtful to the the real artists out there and limits the visitors scope of the world. "
0," Its not worth even a single cent, one of the worst way to spend my money."
0,"painted rooms where you can take pictures, cafetaria and small shop to spend more money for low quality stuff."
0,Why the hell we have to pay for an extra for a counterfeited artwork you such a cheap scoundrel.
0,"Really not worth your time taking all the traffic jam, cramped parking space and eventually greeted by a counterfeited artwork in which you have to pay extra."
0,Goes to show that they do not respect other artists’ works.
0,Shameful and dissapointing.
0,Clearly this establishment has no respect for the works of other people. 
0,"I say ""rip-off"" because the displays are not ""inspired by"" but blatantly copied, without crediting the original artist museums. "
0, Not worth the entry fee.
1,Only the owls are cute.
0,The place is not clean. 
0,"Just wanna tell you the ugly truth, dear netizen :)"
0,"Plagiarsm, bootleging maybe?"
0,"Come on, there're so many creative people in Indonesia "
0,This is ridiculous and overprice Not recommended at all
0,"I mean, what do I get from 65k if I should pay every single spot?  "
0,Need to pay for most activities. 
0,tickets per person around 50k but not much you can see. only for taking pictures. food also nearby but also so-so
0,Immoral owners blatantly copying famous artworks just to slake people's Instagram ego.
0, Wisata Selfie what a joke  
0,Don't ever visit this place 
0,will not go back to this place ever again 
0,they are better of close until they are ready  
0,"Not worth it, mark my words"
0,"Please for god sake, have a staff that can speak English and can disclose alllll the costs that may occur so we can make decisions to not come here. "
0,"They cant speak English, and expect us to understand their very complicated way of conduct of this business. "
0,"Then, they cannot explain their package very well, imagine going for an ATV ride for only one round?  "
0,"First of all, theres a lot of mini and hidden costs that incurred for us. "
0," But when I'm here, the air is really hot and only has few shacks for rest. "
0,"If you lucky, you will meet monkeys enjoying their sunbathing."
1,"The place is windy, relaxing, with stunning view."
0,But the place could be easily dirty after the rain.
1,There are some traditional food shops or coffee shops with cheap prices.
1,"Good for light hiking and taking photos, the place itself is instagramable."
1,Best Regards from Indonesia
1,"Each of our international guests who visit West Java, always ask about this place, and they always ask to be invited to this place, "
1,"it's so amazing, great alternative for pre wedding photo, near another geopark named gua pawon that has archeological site contains cave man fossil"
1, You can spend at least 30 min here to explore and take pictures.
1, There are many spots to take pictures.
1,but it's pretty nice.
1,"but over all, cool"
0,The way to get there less guidance and rocky road (probably because the name is stone garden
1,there are cheap places to eat there. 
0,"unfortunately there are paids spot quite expensive, Rp.50 thousand for one spot and Rp.100 thousand for 3 spots (if not mistaken). "
1," Very friendly & professional service, recommended. "
1,"it's amazing, just don't forget to bring your wind breaker jacket because a lot of wind "
1,"A place near Bandung that for sure, is a heaven to Instagrammers."
0,"Maybe more than just ""not paved"", it's kind of a bit of a roller coaster when you are driving smaller cars."
1,Fresh air and beautiful view made me wanna linger there longer and longer.
1,The thing I love most from this venue is when the green landscape blend with the blue sky scape. 
1,This place landcape full WIth stone from early age around millions of years ago.
1,"overall, the landscape is nice"
0,"But before you get to stone garden there are some guys ask for money for passing the road, thats illegal "
0,The road its an offroad better not to come here when raining or after.
0, Coz soo hot. 
0,"Bird not as much as my 1st visit, ask the staff many birds die."
0,"It's not maintained well, 50k for a 15min experience is pricey."
0,"google maps lead us to bad road, bad experience using google maps"
0,You should be ashamed
0,"it's a pity those who are far from out of town come,, hadeuh"
0,"They need places to run, grass, places to hide and much more."
0,Cruelty to animals. 
0,"Two large toucans and several parrots chained to a pole, unable to move, no toys, nothing."
0,Hayless rabbits and guinea pigs in a small wooden cage. 
0,"They only had concrete floors, no grass or twigs to build their nests on, not a single green leaf. "
0,Many lovebirds are in cages that you can enter. 
0,"The owls are in a tiny cage where they can't even spread their wings, let alone fly. "
0,"However, animal welfare is written in lower case here. "
1,"The garden itself is beautifully laid out, paths and plants immaculately tended. "
0,"the biggest mistake is adding chickens, wow, what a mess the chicken droppings smell like everywhere."
0,"I think the entry ticket is too expensive, 50 thousand one person and a 2 year old child gets 25 thousand cash, the staff is not friendly too."
0,"the children are not happy, the animals are only a few"
0,"the place is not well maintained, "
0," in my opinion, the price and facilities are not comparable  thank you 🙏🙏"
0,The garden is very small. advice
0,The bird collection is also very incomplete
0," but the tours that are presented are not well maintained, the birds are few. "
0,This place is more for bird lovers. Not suitable   
0,"For an entrance ticket of 50 thousand   person, it is not suitable according to my husband."
0," So it's not beautiful, it's not like it was early to come here in 2017. I don't recommend"
0,Maybe it's a pandemic effect.
0,"so it felt cramped and poorly maintained, last year the fish pond still had fish and could be   "
0,access here is quite difficult because it's too deep 
1,"guys, it's hot in the afternoon, but don't worry, there are stalls there. Those who provide food and drink"
1,Recommended bridge for visited 
1,Sometimes there is security who patrol in this bridge who looking for visitor who are crazily climb up until he reach the rooftop of this bridge and that is really dangerous so they must stop that visitor  
0,It just looks like it's not well maintained.
0,but bit congested and entry price even for kids above 2 they charge 50k which is a bit expensive
1,"Many spots for taking pictures, indoor n outdoor. "
0,even though there are some places that need to be repaired or tidied up.
1,Mostly classic outbound games except for ATV which was quite thrilling. A decent place to walk around nonetheless
0,Even the dragon fish statue will ask you for money. 
0," After you purchace the ticket which is not cheap 25k per  person and come inside area there you must pay for everything again, even the bus waraviri is not free  "
0,.Thats crazy  You even cannot bring foods and drinks from outside as they put the signs everywhere
0,if you bring foods from outside the penalty is 200k🥵 Even for your just purchaced tickets you cant get anything for free.
0,  Even no water for free 
0,only what you can expect its a piece of paper or sticker
0,Drink that they have its a cheap hydrococo which price in supermarket is rp 4000 you must have 3 tickets for entrance. 
0,In their cafes foods are so boring and not cost the price.
0,Overall place is so small and nothing to do there
0,"especially if you bring kids, everything inside you must pay again"
0,i will never come to here again and will never recommend this place to anyone.
0,Not worth the effort.
0,Traffic to and fro the theme park during Saturday was horrendous. 
0,"Service of staff towards foreigner was bad, we queue but was served after locals who came after us. "
0,But it is kind of wasted that the place was not maintained well. 
0,"Everyone is saying that the place is wide and can spend lots of times here, but if have no so much money u will just leave within 1.5hours."
1,I think is ok to just choose some of the spots to take pictures. 
0,"Just think about it, how much money will be spent just for the photo. "
0,"At the food court near the front gate, they don't separate the cashier between the people who wants to pay for the food drinks with the people who want to buy the ticket for photo spots. "
0,Basically i don't understand the idea of selfie park.
0, And don't come here during long weekend or you will get stuck in a very long queue just to take pictures in one of the selfie spots or even just to order some food drinks. 
0,Expensive place with no satisfaction at all
0,"we've been go to similiar places but a lot better experience, ambience and services.  "
0,Will never ever go back to this place not amusing at all. 
0,"Not only pay the entrance andparking alone, u hv to spent 20k per person and 10 k per car."
0, Meanwhile at other place u can get shuttle for free. 
0,not enjoying at all 
0,u have to walk up and down to get to one venue to another.
0, too complicated
0,but I don't really enjoy the feeling of taking out my wallet every time I want to take a photo 
0,"then you have to pay to get the softcopy (if you want to) or have to pay for a higher price for the print version of your photo, which is normal  "
0,Was disappointed
0,Unorganized too many mosquitoes.
0,There is no one who can explain things in English
0, Nothing you can do here in terms of tourist activity beside selfies as they only sell view (that's all they have in my opinion)
0,Not worth the time.
0,Going there is a hassle. 
0,"don't come here specially on red calender, public holidays, weekends or you'll be very sorry and dissapointed."
0,Don't waste your money by visiting this place.
0,It doesn't look like a dreampark at all. 
0,The place is not well maintained at all
0,The trade in prize of a small cup of juice for a 30k ticket is not good at all. 
0,Not recommended
0,Not having that beautiful view and lots of repairing here and there. 
0,parking is terrible 
0,"ticketing is confusing, "
0,"all toilets are left without water, "
0,facilities are poor ; 
0,"Ticket price is the same on weekdays and holidays, but most of the games are not in operation. "
0,Worn out place. 
0,Every ride are over exaggerated
0,Overprice for ticket entrance  
0,Not quite suitable for kids below 7 years.
0,"badly designed (poor concept)  constructed and maintained, other than nice weather to enjoy."
0,Just stay away and find another place to visit.
0,"Dark, dirty and too commercial. "
0,Far away of what a dreampark should be.
0,Sorry
0, Ticket fee is expensive and every corner of this place has a price  
0,it's like their management just stealing money for nothing.
0,People are cutting queing line and the management don't want to do anything about it. No more 
0,What a waste of time. 
0,You spend a lot of money for nothing
0,The Road to site is very tight & small 
1, But the taste good
0,but the price it's pricey.
1,The resraurant backyard have a good ambience and view 
0, the parking area spread into several public area and made heavy traffic
0,you have to pay IDR 20k for enterence ticket and you can change it with a glass with pure milk (but the taste not so good)
0,Need so much maintenance.
0,Some venue we have to pay even to enter.
0,"We can only see some animals, but have to pay to feed."
0,"But inside, very less maintenance."
1,"Paying 30,000 per person, good that we can still exchange with one cup of milk. "
0,It's very disappointing experience since somehow the farm experiences looked downgraded.
0,"For 30 k ticket, (comes with a glass of free fresh milk), in my opinion still not worth it"
0,"But the problem is the way they take care their cow, looks like they're dying, so skinny and looks so unhealthy"
0,It's just heartbreaking to see these views.
0,"And when the place was full, most staffs became rude and lose their manner."
0, They're not trained to handle too many guests.
1,Some spots were good for photo taking
0,However totally not worth the second visit.
0,Beware parking outside their parking lot 
0,The locals will robbed you 25000 IDR per parking. 
0,"Thats not only expensive, it's a bare-faced robbery "
0,"My advise if you want to go there, and their parking lot is full, just skip your plan."
0,Don't go there It means the place is already full.
0, The place is only for people that loves to take picture for their IG or SC or other platform.
0, Super crowded on weekend and you really can feel the uncomfortable feelings of having just too much people around you.
0,"I know prices in tourist attraction tend to be higher, but please, they charge like up to 5 times higher from normal price."
0,". I don't really get the concept of it, like trying to bring mini Europe or something to Bandung. "
0,"So people can ""feel"" like they're in Europe? Couldn't be further than the real situation there. "
0,There's plenty of other things to do.
0,Oh and did I mention they overpriced everything? 
0,"If you only visit Bandung for a short time, don't waste your time here.  "
0,Who has the idea to built an attraction in the middle of crowded road
0,Never visiting this place again.
0,Milk meant for the animals went to waste just like that. 
0,So disgusting. 
0,"Because unfortunately the idea is good and the variants that are seen are not many, only the area is small, so not many are seen. "
0, Maintained cleanliness and quality of the plant area and the animals. 
1,But it's good enough and happy to be able to feed the birds directly and also ducks or other types of animals even though there aren't many.
0,There aren't many birds either. 
1,"The condition of the birds is also quite healthy, quite well-maintained, only the variants start a little. "
0,"because the workers are new to cleaning cages and animals, so walking around the area is wet and slippery. "
0,"but to be honest, right after it rains, it's muddy in the morning, "
1,"Entering the Bird Pavillon, the front is pretty good, "
0,Gasebo also didn't get it a little  the tires didn't get it either  please improve
0,Rules may be enforced but have to look at the situation in the field (white rice and hard-boiled eggs for eating toddlers is prohibited)
0,. Bringing food for my one and a half year old toddler is also prohibited.
0,many officers there who do not smile to greet visitors
0,"please remind them to stick it using writing or banners so the impression is supervised, the 70,000 entrance ticket has a deposit"
1," the bird obeys, wants to be fed, cute."
0,I dont recommend this place and will never go back there .
0,"The rules are really unfriendly to the visitors, you can not bring foods in, and even if you have entered rhe gate, you will not allowed to come out to eat the food you have prepared before."
0,but this was  the worst waterpark I have ever visited. 
0,"Thanks for my money wasted for nothing, apparently haha ​​🙏"
1," So, the water is ok and the presence of the mixue is the only thing that entertains me and my friends. "
0,"So, it's not worth it for myself, of the many pools that are rich recently,"
0,Then there is a 10k deposit for the installation of the bracelet which I don't think is important in my personal opinion
1,"the quality of the water is really good, fresh like no chlorine"
0, Expensive swimming tire rental for a 2 person slot costs 50k   2 hours.
0,"The most annoying thing is that you can't bring rice eat from outside, even though it's actually called swimming and you're hungry"
0," I'm just surprised, if you bought a swimming ticket, you can't bring any food from outside, will you be evicted?"
0," After all, when you finish swimming, you want to eat right away at the pool, instead of taking a shower first and then buying food at the food store"
0," Then they are monitored here and there by the staff to make sure the visitors don't bring food from outside, haha ​​so freaky I think that's to much for me and my friends."
0," Then renting a doggy house (because it's small like a modern hut) is expensive 60k 2 hours, right? I'm annoyed that I'm still in the pool, why is the fee still available. "
0,". When criticized complained, the officer's response was instead angry back, the car was parked outside the area."
0,Have to wait 45 minutes to get your own car 
0,YOU ARE NOT READY FOR SUCCESS
0,shopping with 100 thousand dollars is not accepted for no reason
0," there is no change even though there is a lot of change, the attitude of service to the customer is arbitrary"
0,"instead of being a solution for consumers, they are given an additional parking fee"
0, in the batten pool you are not allowed to bring food
1, there are checks and there are supervisors inside those who go around all the time
0,then order to eat inside there is only cashier 1 makes a queue then the food takes a long time to come
1,.only ice cream can be ordered directly.
0,.it's weird to buy a lot especially during school holidays cashier 1 queue can be 10 minutes 
0,"In my case, I ordered food and waited for more than 1 hour (even though I only ordered fried rice and french fries)."
0,"My child's condition is already BLUE, I have to eat, it's been 1 hour after ordering but I have to WAIT for the food I buy."
0,Permission to go to the security guard up to 3x and even to the staff in orange clothes 2x to take food. 
0,"I HAVE CHILDREN, I am not allowed to have to wait for the food that has been ordered for MORE THAN 1 HOUR"
0,There is no empathy. Not flexible. Officers can't differentiate between emergency and non-emergencies. 
0," The food I bought didn't arrive for 1 hour and 10 minutes, until I complained while shakin"
0, THERE WAS NO EMPATHY ALL OF THE OFFICIALS 
0,Too strict with the rules. Crazy.
0,I'm sorry I gave 1 star because it's so real.
0," Your rules are like this all the time, stubborn, look for emergencies, people won't want to go to your place again "
0,Can't tell the difference between EMERGENCY 
0,"The rinse room is cramped and is one with the toilet, so it smells a bit."
0,What annoyed me was that I wasn't allowed to bring food drinks from outside.
0,"Even children's food is not allowed, the guard still insists."
1,"After all, if you are allowed to bring food from home, it will not make you lose money."
0,"You have paid for everything, still added the prohibition of not being allowed to bring food from outside, extraordinary."
0,"For visitors who want to come here, it's better to think again"
0,there are too many unfriendly rules. Not recommended.
0, They were not fed by the keepers. Instead they were left to starve
0,"They were so thin. And, the visitors were suppose to pay for the milk and grass and feed the calves"
0,I feel sorry for these animals. 
0,You can discover a large rubbish dumping ground on your left while you standing on the scenery pit after the cafe
0,The owner tries to squeeze everything in a place. 
0,. Too crowded with lack of parking space
0,"Clearly overrated, do not expect to get a perfect angle on every photo, "
0,Quality of the buildings and the services offered cannot justify the visit.
1,All the area is basically designed around local food and souvenirs
0,"And it was crowded as hell, not recommend for people who like to use their head a bit more"
0,too bad people working there .
0,Even they dont have enough parking area
0,dont expect too much just some ordinary animals and small garden
0,. Not recommend place to visit.
0,Always make long traffic jam because lack of parking lot.
0,For me it's just like bazar with some stall food inside
0,Also this place always crowded on public holidays. 
0,management must control the numbers of visitor for their good
0," and too crowded, "
0,There are many queues and food that is ordered takes a long time to be delivered.
0,Not recommended.
0," And with that price, I could get a lot of spots to visit, yet plain"
0,I get it that this place is built for them who want to create some instagrammable contents
0,"But, my apologies, this is impressed as a forceful effort. "
0,"Furthermore, most animals (pigeon, rabbit, monkey, etc.) have a weak body."
0," Since I don't know what the employees do to the animals, looking at them makes me want to help them"
0,I hope the owner consider putting the animal in such manners.
0,"There is one bird in the outdoor area, is in pain because it's tied, and the body is hurt as feathers are off. "
